Indicador;Comunidades y ciudades autónomas;Sexo;Total
Gasto Medio por estudiante;Madrid, Comunidad de;Hombres;2.393
Gasto Medio por estudiante;Madrid, Comunidad de;Mujeres;2.539
Gasto Medio por estudiante;Murcia, Región de;Ambos sexos;1.569
Gasto Medio por estudiante;Murcia, Región de;Hombres;1.398
Gasto Medio por estudiante;Murcia, Región de;Mujeres;1.728
Gasto Medio por estudiante;Navarra, Comunidad Foral de;Ambos sexos;2.159
Gasto Medio por estudiante;Navarra, Comunidad Foral de;Hombres;1.470
Gasto Medio por estudiante;Navarra, Comunidad Foral de;Mujeres;2.868
Gasto Medio por estudiante;País Vasco;Ambos sexos;2.257
Gasto Medio por estudiante;País Vasco;Hombres;2.378
Gasto Medio por estudiante;País Vasco;Mujeres;2.141
Gasto Medio por estudiante;Rioja, La;Ambos sexos;2.084
Gasto Medio por estudiante;Rioja, La;Hombres;2.147
Gasto Medio por estudiante;Rioja, La;Mujeres;2.034
Gasto Medio por estudiante;Ceuta;Ambos sexos;985
Gasto Medio por estudiante;Ceuta;Hombres;887
Gasto Medio por estudiante;Ceuta;Mujeres;..
Gasto Medio por estudiante;Melilla;Ambos sexos;833
Gasto Medio por estudiante;Melilla;Hombres;1.079
Gasto Medio por estudiante;Melilla;Mujeres;699
Número de estudiantes;Total nacional;Ambos sexos;13.523.500
Número de estudiantes;Total nacional;Hombres;6.515.385
Número de estudiantes;Total nacional;Mujeres;7.008.115
Número de estudiantes;Andalucía;Ambos sexos;2.439.005
Número de estudiantes;Andalucía;Hombres;1.101.360
Número de estudiantes;Andalucía;Mujeres;1.337.645
Número de estudiantes;Aragón;Ambos sexos;369.025
Número de estudiantes;Aragón;Hombres;186.121
Número de estudiantes;Aragón;Mujeres;182.904
Número de estudiantes;Asturias, Principado de;Ambos sexos;196.776
Número de estudiantes;Asturias, Principado de;Hombres;100.082
Número de estudiantes;Asturias, Principado de;Mujeres;96.694
Número de estudiantes;Balears, Illes;Ambos sexos;330.018
Número de estudiantes;Balears, Illes;Hombres;147.575
Número de estudiantes;Balears, Illes;Mujeres;182.443
Número de estudiantes;Canarias;Ambos sexos;642.322
Número de estudiantes;Canarias;Hombres;351.173
Número de estudiantes;Canarias;Mujeres;291.149
Número de estudiantes;Cantabria;Ambos sexos;136.013
Número de estudiantes;Cantabria;Hombres;67.013
Número de estudiantes;Cantabria;Mujeres;69.000
Número de estudiantes;Castilla y León;Ambos sexos;562.202
Número de estudiantes;Castilla y León;Hombres;279.434
Número de estudiantes;Castilla y León;Mujeres;282.767
